Drink,Ingredient,Amount,IngredientUse,Glass,HowToMix
212,Partida Reposado Tequila,2oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
212,Ruby Red Grapefruit Juice,2oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
212,Aperol,1oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
212,Orange Twist,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Mint Leaf,4-5,Muddle,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Cucumber Slice,2,Muddle,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Orange Slice,2,Muddle,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Hine V.S.O.P. Cognac,1oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,House Ginger Beer,1oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Mint Sprig,1,Garnish,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Martini Sweet Vermouth,.75oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Cherry Heering,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Lemon Juice,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#3 Cup,Marie Brizard Orange Curacao,.5oz,Build,Collins glass,Shake with ice and strain into a chilled Collins glass filled with ice
#8,Don Julio Reposado Tequila,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
#8,House Orange Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
#8,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
#8,Lustau Palo Cortado Sherry,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
#8,Barenjager Honey Liqueur,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
100 Year Punch,Fee Brothers Old Fashion Bitters,2dashes,Build,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
100 Year Punch,"Bek Se Ju ""100-year wine""",1oz,Build,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
100 Year Punch,Elijah Craig 12-Year-Old Bourbon,1oz,Build,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
100 Year Punch,Q Tonic,1oz,Top,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
100 Year Punch,Pinch Grated Nutmeg,1,Garnish,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
100 Year Punch,Tangerine Zest,1,Garnish,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
100 Year Punch,Ssal-Yut Rice Syrup,.25oz,Build,Rocks,Stir with ice and fine-strain into a chilled rocks glass filled with ice
20th Century,Plymouth Gin,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
20th Century,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
20th Century,Lillet Blanc,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
20th Century,Marie Brizard White Creme de Cacao,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
21st Century,Siete Leguas Blanco Tequila,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
21st Century,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
21st Century,Marie Brizard White Creme de Cacao,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
21st Century,Pernod,,Rinse,Coupe,Shake with ice and strain into a chilled coupe
Absinthe Drip,Ice-Cold Filtered Water,4.5-6oz,Build,Absinthe,"Pour absinthe into a chilled absinthe glass. Place an absinthe spoon over the rim and set a sugar cube on top. Using an absinthe fountain or water carafe, slowly pour or drip ice-cold water over sugar cube into the glass"
Absinthe Drip,Vieux Pontarlier Absinthe,1.5oz,Build,Absinthe,"Pour absinthe into a chilled absinthe glass. Place an absinthe spoon over the rim and set a sugar cube on top. Using an absinthe fountain or water carafe, slowly pour or drip ice-cold water over sugar cube into the glass"
